title,company,experience,location,salary,description,skills,url,search_role
Data Scientist-Artificial Intelligence,IBM,5-7 Yrs,Hyderabad,Not disclosed,"Work with broader team to build, analyze and improve the AI solutions. You will also ...","data scientist, algorithms, python, data analytics, data pipelines, ai solutions, ai, enterprise applications",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-5-to-7-years-160226928771,data-scientist
Data Scientist-Artificial Intelligence,IBM,12-17 Yrs,Hyderabad,Not disclosed,"Work with broader team to build, analyze and improve the AI solutions. You will also ...","data scientist, algorithms, python, data analytics, data pipelines, ai solutions, data engineer, ai",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-12-to-17-years-180226932295,data-scientist
Data Analyst / Data Scientist (Splunk & Python),PURVIEW,6-10 Yrs,"Hybrid - Hyderabad, Pune",Not disclosed,"Statistical Analysis & Modelling: Experience with modelling techniques (r. egression, c...","Data Cleansing, Splunk, Python, Data Quality, Classification, Regression, Statistical Analyses, Clustering",https://www.naukri.com/job-listings-data-analyst-data-scientist-splunk-python-purview-services-hyderabad-pune-6-to-10-years-120226029108,data-scientist
Data Scientist-Artificial Intelligence,IBM,9-14 Yrs,Hyderabad,Not disclosed,"Work with broader team to build, analyze and improve the AI solutions. You will also ...","data scientist, algorithms, python, data analytics, data pipelines, ai solutions, data engineer, ai",https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-hyderabad-9-to-14-years-180226932240,data-scientist
Data Scientist,Cloudhedge Technologies,3-6 Yrs,Pune,Not disclosed,"Bachelor s or Master s degree in Data Science, Computer Science, Statistics, Mathematic...","Computer science, deep learning, advanced analytics, tableau, data science, Analytical, power bi, data visualization",https://www.naukri.com/job-listings-data-scientist-cloudhedge-technologies-pune-3-to-6-years-180226503651,data-scientist
Data Scientist,Shell Pvt Ltd,6-8 Yrs,Chennai,Not disclosed,We re closing the gender gap whether that s through action on equal pay or by enabling ...,"Mining, SAP, Renewable energy, LNG, Analytical, Monitoring, Analytics, SQL",https://www.naukri.com/job-listings-data-scientist-shell-pvt-ltd-chennai-6-to-8-years-160226500207,data-scientist
Data Scientist,Tata Consultancy Services,4-9 Yrs,Hyderabad,Not disclosed,"Dear Candidates, TCS is looking for Data scientistExperience:4-10 yearsLocation: Hydera...","Data Science, Machine Learning, Analytics, Data, Science, Machine",https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-4-to-9-years-190226033047,data-scientist
Data Scientist,Bridgestone - Global Capability Center,4-8 Yrs,Hybrid - Bengaluru,Not disclosed,"Preferred candidate profile . Masters or Bachelors degree in Computer Science, Statisti...","Pyspark, Generative Ai, Machine Learning, Data Bricks, Python, Data Science, Artificial Intelligence, Data",https://www.naukri.com/job-listings-data-scientist-bridgestone-global-capability-center-bengaluru-4-to-8-years-200226012582,data-scientist
Data Scientist - LLM / Machine Learning,Jero Technologies,5-10 Yrs,"Mumbai, Pune",Not disclosed,"Masters in Computer Science, Data Science, Artificial Intelligence, or a related field,...","Data Scientist, Azure, PyTorch, Machine learning, Scikit-learn, statistical modeling, data structures, LLM",https://www.naukri.com/job-listings-data-scientist-llm-machine-learning-jero-technologies-mumbai-pune-5-to-10-years-180226930138,data-scientist
Data Scientist - Gen AI,EXL,3-8 Yrs,"Hybrid - Noida, Pune, Gurugram",Not disclosed,"Required Skills: . 3+ years of experience in Data Science / ML, with 1+ year hands-on i...","Fine Tuning, Generative Ai, Large Language Model, Retrieval Augmented Generation, Data Science, Langchain, Palantir, Vector Database",https://www.naukri.com/job-listings-data-scientist-gen-ai-exl-noida-pune-gurugram-3-to-8-years-160226019414,data-scientist
